text@uia1978m	uia1978m	79.98	84.54	и твоего успеха заслуженного / и такой популярности 
text@uia1978m	uia1978m	84.92	88.78	и любви / которую к тебе испытывают все люди ? // Ты понимаешь / что
text@uia1978m	uia1978m	88.84	91.89	у нас не так часто принято выражать любовь к усатым людям ? //
text@uia1978m	uia1978m	93.2	95.3	у нас просто есть фотография / щас хочу показать
text@uia1978m	uia1978m	95.92	97.45	на которой / смотрите
text@uia1978m	uia1978m	98.72	100.64	эта фотография сделана год назад
text@uia1978m	uia1978m	100.82	101.93	на кинотавре
text@uia1978m	uia1978m	102.5	104.99	и ведь хочу сказать / что стоит звезда в центре
text@uia1978m	uia1978m	106.54	108.81	да / абсолютная звезда
text@uia1978m	uia1978m	109.45	110.7	с голливудской улыбкой
text@uia1978m	uia1978m	111.79	114.78	видит / где камера / в отличие от тех двух / которые стоят справа и слева
text@uia1978m	uia1978m	115.33	119.54	я хочу попросить тебя... / эээ... /  в этот момент еще не было ничего
text@uia1978m	uia1978m	120.44	122.93	ни выхода твоего сериала Внутри Лапенко
text@uia1978m	uia1978m	123.42	126.21	который все смотрят / не было еще даже Ричарда Сапогова
text@uia1978m	uia1978m	126.47	130.37	и тем не менее к тебе уже... / на тебя слетались звезды
text@uia1978m	uia1978m	130.53	132.64	как мухи на варенье
text@uia1978m	uia1978m	132.85	134.18	расскажи / как это произошло / Антон! //
text@uia1978m	uia1978m	140.42	140.95	угу
text@uia1978m	uia1978m	147.17	148.07	сам подошел ? //
text@uia1978m	uia1978m	154.56	155.19	угу
text@uia1978m	uia1978m	156.75	157.56	#смеётся#
text@uia1978m	uia1978m	160.93	162.23	тебе приятно / когда...
text@uia1978m	uia1978m	162.91	165.7	ну / люди / казалось бы.../ да... / ну / ты снял... / ну.../ Федор... /
text@uia1978m	uia1978m	165.74	167.86	ну / ты снял коротенькое видео / прости / на телефон
text@uia1978m	uia1978m	167.97	170.16	Вы же снимаете всё это на телефон ? //
text@uia1978m	uia1978m	170.44	171.15	на телефон
text@uia1978m	uia1978m	171.36	173.46	а Федор Сергеич снимает видео... / #нрзб# /
text@uia1978m	uia1978m	175.22	177.02	на хороший телефон
